NCBITaxID,DOI,isomer_ID
9837,10.1021/acs.jafc.1c05872,5_1_0_0_0h
116960,10.1007/978-1-4615-1371-1_40,3_1_1_0_0a
9606,10.1021/pr1009367,3_1_1_1_0k
9615,10.1371/journal.pone.0243323,4_2_0_0_0c
9923,10.1021/acs.jafc.6b05104,3_0_0_0_0j
39293,10.1016/s1096-4959(00)00327-4,4_2_2_0_0a
9923,10.1016/j.idairyj.2005.02.003,3_0_0_0_0b
9606,10.1021/jf0615810,3_3_1_0_0b
9923,10.1021/acs.analchem.0c00342,1_1_0_0_1a
9923,10.1016/j.chroma.2015.09.060,3_0_0_0_0f
9544,10.1021/pr1009367,3_1_1_1_0a
9825,10.3389/fnut.2016.00039,1_1_1_0_0c
9923,10.1016/j.chroma.2015.09.060,3_1_0_0_0f
9595,10.1021/pr1009367,4_2_0_0_0m
9598,10.1021/pr1009367,4_2_3_0_0i
9913,10.1021/acs.analchem.0c00342,3_0_0_1_0g
9923,10.1016/j.idairyj.2005.02.003,4_2_0_0_0a
9606,10.1021/pr100362f,4_2_2_0_0e
9940,10.1017/S0007114513003772,3_0_0_0_1a
9590,10.1021/pr1009367,3_1_0_0_0h
89462,10.1021/acs.analchem.0c00342,2_4_0_0_0a
9913,10.1021/acs.jafc.1c05872,3_0_0_0_0f
30588,10.1021/pr1009367,2_1_0_0_0o
9913,10.1093/glycob/cwt007,3_3_0_0_0b
9595,10.1021/pr1009367,3_1_0_1_0h
9913,10.1017/S0007114513003772,1_1_0_1_0b
9598,10.1021/pr1009367,3_1_0_1_0b
59515,10.1111/asj.12899,2_0_0_2_0a
9483,10.1021/pr1009367,3_0_0_0_0f
9590,10.1021/pr1009367,3_1_0_0_0i
9825,10.3168/jds.2016-10966,3_0_0_1_0g
9825,10.3168/jds.2016-10966,1_1_0_1_0d
9606,10.1016/bs.accb.2015.08.002,5_3_3_0_0a
9600,10.1007/978-1-4615-1371-1_40,3_1_1_0_0a
9606,10.4052/tigg.1734.1SE,1_1_1_1_0a
9598,10.1021/pr1009367,6_0_0_1_0a
9825,10.1038/s41598-018-23025-x,4_2_0_1_0o
378754,10.1016/s0304-4165(99)00134-8,4_1_1_0_0b
9923,10.1021/acs.analchem.0c00342,4_0_0_0_0c
9463,10.1007/s10719-012-9370-9,2_0_0_0_1a
9606,10.1021/acs.analchem.0c00342,3_1_0_2_0a
9838,10.1017/S0007114513003772,4_2_0_1_0l
9606,10.1021/pr1009367,6_4_2_0_0q
9923,10.1021/acs.jafc.6b05104,2_0_0_2_0c
69298,10.1007/s10719-018-9849-0,2_0_0_1_0a
9606,10.1016/bs.accb.2015.08.002,2_0_2_0_0a
9606,10.4052/tigg.1734.1SE,4_2_3_0_0c
9825,10.1093/jas/sky212,1_1_0_1_0b
9825,10.3168/jds.2016-10966,2_0_1_0_0a
9913,10.1021/acs.jafc.1c05872,3_2_0_0_0f
39304,10.1016/j.ab.2009.03.004,5_5_2_0_0a
9544,10.1021/pr1009367,4_1_0_1_0g
9337,10.1007/s10719-014-9533-y,5_1_0_0_0b
